Cell Line,Condition ,Group,IL-6,IL-8,TNF-alpha ,HMGB1,NFKB,pNFKB Value,NAMPT,MyD88,2^(146),2^(181),SOD1,Catalase,2^(200),eNOS,peNOS,2^(126),p21,p38,pp38,2^(34),C3,CC3,2^(Let-7)
HUVEC 50-3,A008 + IKK,CTL+IKK,,,,,590.0014933,68.99906783,,,,,,,,,,,,,,,,,
HUVEC 50-3,A010 + IKK,CTL+IKK,,,,,944.0470988,92.31918218,,,,,,,,,,,,,,,,,
HUVEC 49-3,A015 + IKK,CTL+IKK,,,,,494.8669335,86.31564834,,,,,,,,,,,,,,,,,
HUVEC 49-3,A020 + IKK,CTL+IKK,,,,,904.1225147,232.0494092,,,,,,,,,,,,,,,,,
HUVEC 49-3,A021 + IKK,CTL+IKK,,,,,395.0226263,116.410645,,,,,,,,,,,,,,,,,
HUVEC 49-3,A025 + IKK,CTL+IKK,,,,,555.7764421,173.3324566,,,,,,,,,,,,,,,,,
HUVEC 49-3,A026 + IKK,CTL+IKK,,,,,838.9696866,197.0542655,,,,,,,,,,,,,,,,,
HUVEC 49-3,A032 + IKK,CTL+IKK,,,,,1262.024936,266.7165983,,,,,,,,,,,,,,,,,
HUVEC 49-3,A033 + IKK,CTL+IKK,,,,,535.548757,104.1875525,,,,,,,,,,,,,,,,,
HUVEC 49-3,A034 + IKK,CTL+IKK,,,,,423.7826276,133.1709015,,,,,,,,,,,,,,,,,
HUVEC 49-3,A035 + IKK,CTL+IKK,,,,,881.2447795,126.8703875,,,,,,,,,,,,,,,,,
HUVEC 49-3,A039 + IKK,CTL+IKK,,,,,1012.37164,192.0224058,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC 50-3,A001 + IKK,CMS+IKK,,,,,624.1792446,64.97646347,,,,,,,,,,,,,,,,,
HUVEC 49-3,A003 + IKK,CMS+IKK,,,,,958.6933046,212.4316201,,,,,,,,,,,,,,,,,
HUVEC 49-3,A006 + IKK,CMS+IKK,,,,,698.495347,118.0557148,,,,,,,,,,,,,,,,,
HUVEC 49-3,A009 + IKK,CMS+IKK,,,,,787.2949494,213.8040041,,,,,,,,,,,,,,,,,
HUVEC 49-3,A011 + IKK,CMS+IKK,,,,,671.1230744,79.30047598,,,,,,,,,,,,,,,,,
HUVEC 49-3,A016 + IKK,CMS+IKK,,,,,455.4393123,78.70701019,,,,,,,,,,,,,,,,,
HUVEC 49-3,A017 + IKK,CMS+IKK,,,,,774.5920029,189.9684698,,,,,,,,,,,,,,,,,
HUVEC 49-3,A018 + IKK,CMS+IKK,,,,,1091.268097,196.1835676,,,,,,,,,,,,,,,,,
HUVEC 49-3,A027 + IKK,CMS+IKK,,,,,843.1131212,87.96853365,,,,,,,,,,,,,,,,,
HUVEC 49-3,A029 + IKK,CMS+IKK,,,,,0.180206172,83.94865369,,,,,,,,,,,,,,,,,
HUVEC 50-3,A036 + IKK,CMS+IKK,,,,,982.4280839,94.28287691,,,,,,,,,,,,,,,,,
HUVEC 49-3,A040 + IKK,CMS+IKK,,,,,782.7115254,59.84996008,,,,,,,,,,,,,,,,,
HUVEC 49-3,A043 + IKK,CMS+IKK,,,,,445.6382373,56.16386433,,,,,,,,,,,,,,,,,
HUVEC 49-3,A046 + IKK,CMS+IKK,,,,,520.1461253,112.7205303,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
